file,variant,orig_bytes,out_bytes,orig_curve_cmds,out_curve_cmds
buildings/图.svg,bronze,7351,1086,48,59
buildings/屯.svg,oracle,3054,641,29,38
buildings/瓦.svg,seal,1810,415,14,15
buildings/威.svg,bronze,5662,966,34,45
buildings/韦.svg,oracle,4171,654,24,30
buildings/围.svg,bronze,5910,1022,44,52
buildings/维.svg,bronze,4186,797,31,39
buildings/伟.svg,seal,4151,686,18,24
buildings/未.svg,oracle,3985,418,12,12
buildings/温.svg,oracle,4194,707,27,40
buildings/瘟.svg,seal,5493,1049,36,47
buildings/文.svg,oracle,3399,456,16,19
buildings/稳.svg,seal,5976,900,21,26
buildings/吴.svg,bronze,2385,488,16,21
buildings/物.svg,oracle,3159,791,40,54
buildings/西.svg,oracle,6407,689,26,36
buildings/希.svg,seal,3931,715,22,27
buildings/悉.svg,seal,3764,615,17,19
buildings/像.svg,seal,4549,716,17,20
buildings/校.svg,bronze,25158,2479,117,121
buildings/歇.svg,seal,5356,841,24,34
buildings/协.svg,bronze,8573,1373,78,94
buildings/械.svg,seal,5484,878,21,27
buildings/心.svg,oracle,2584,408,12,12
buildings/信.svg,bronze,13189,1529,83,88
buildings/星.svg,oracle,3806,569,20,24
buildings/行.svg,oracle,3916,811,39,55
buildings/型.svg,bronze,5168,986,60,69
buildings/休.svg,oracle,3346,524,18,22
buildings/学.svg,oracle,4386,625,18,22
buildings/牙.svg,bronze,3848,754,70,47
buildings/雅.svg,seal,4580,798,22,26
buildings/亚.svg,oracle,3450,467,15,15
buildings/研.svg,seal,3421,700,23,32
buildings/验.svg,seal,6364,915,24,27
buildings/仰.svg,seal,3174,661,19,27
buildings/谒.svg,seal,6024,921,24,29
buildings/一.svg,oracle,1941,564,28,36
buildings/伊.svg,oracle,3068,499,16,22
buildings/医.svg,seal,2741,488,13,12
buildings/艺.svg,oracle,4186,776,28,36
buildings/议.svg,bronze,12818,1376,85,89
buildings/邑.svg,oracle,2673,434,19,21
buildings/易.svg,oracle,2690,481,22,29
buildings/疫.svg,seal,4171,754,23,28
buildings/银.svg,seal,4599,958,30,43
buildings/隐.svg,seal,6291,943,23,26
buildings/印.svg,oracle,3680,405,13,13
buildings/营.svg,bronze,4400,687,24,34
buildings/影.svg,seal,3528,624,20,25
buildings/俑.svg,seal,3904,724,20,28
buildings/用.svg,oracle,4793,431,14,15
buildings/由.svg,oracle,2906,477,17,22
buildings/犹.svg,oracle,5582,614,22,27
buildings/育.svg,oracle,4153,660,26,36
buildings/浴.svg,bronze,14248,1181,67,72
buildings/园.svg,seal,4608,826,20,28
buildings/院.svg,seal,4718,838,26,34
buildings/越.svg,bronze,5378,790,66,40
buildings/运.svg,seal,6077,929,26,31
buildings/扎.svg,seal,2612,512,16,18
buildings/站.svg,seal,6637,1013,29,38
buildings/障.svg,seal,6027,921,28,33
buildings/真.svg,bronze,3426,593,21,27
buildings/阵.svg,oracle,4705,861,34,46
buildings/征.svg,oracle,4446,892,41,56
buildings/证.svg,seal,6294,1018,29,38
buildings/政.svg,oracle,3276,673,25,34
buildings/之.svg,oracle,2598,390,13,13
buildings/制.svg,bronze,6109,1078,46,59
buildings/钟.svg,bronze,7052,1335,74,88
buildings/舟.svg,oracle,6824,646,23,24
buildings/宙.svg,oracle,3469,572,20,25
buildings/主.svg,oracle,2096,578,28,38
buildings/住.svg,seal,4733,783,23,28
buildings/筑.svg,seal,5055,758,24,30
buildings/兹.svg,oracle,4579,603,21,23
buildings/子.svg,oracle,4268,579,15,16
buildings/字.svg,bronze,4397,872,55,64
buildings/自.svg,oracle,3927,457,13,13
buildings/宗.svg,oracle,3425,482,18,23
buildings/总.svg,seal,9138,917,24,30
buildings/族.svg,oracle,3385,471,16,23
citybanner/旗.svg,seal,4582,809,25,31
civics/阿.svg,bronze,3879,959,59,65
civics/奥.svg,seal,5085,969,28,40
civics/澳.svg,seal,6936,1078,33,51
civics/芭.svg,seal,5356,943,27,39
civics/霸.svg,oracle,7750,742,24,30
civics/邦.svg,oracle,3170,489,16,17
civics/保.svg,oracle,3679,493,14,15
civics/本.svg,bronze,4377,768,37,42
civics/比.svg,oracle,4320,760,36,43
civics/币.svg,seal,5555,879,30,43
civics/必.svg,oracle,1746,277,12,14
civics/变.svg,bronze,4829,744,28,37
civics/兵.svg,oracle,4481,825,36,50
civics/部.svg,seal,4858,809,22,28
civics/产.svg,bronze,4608,919,44,54
civics/场.svg,seal,3655,686,20,27
civics/朝.svg,oracle,5367,1065,50,68
civics/城.svg,bronze,6863,1217,67,79
civics/程.svg,bronze,4309,687,24,30
civics/出.svg,oracle,3541,508,16,19
civics/传.svg,oracle,4971,629,18,23
civics/次.svg,oracle,2278,361,14,15
civics/大.svg,oracle,2903,343,12,14
civics/导.svg,seal,6349,1139,41,59
civics/道.svg,bronze,6684,1069,83,71
civics/地.svg,bronze,5173,995,41,56
civics/等.svg,seal,4737,812,24,35
civics/帝.svg,oracle,4153,805,30,39
civics/第.svg,oracle,2438,426,17,20
civics/动.svg,bronze,6250,1232,72,85
civics/斗.svg,oracle,1710,327,12,13
civics/度.svg,oracle,4328,570,20,24
civics/二.svg,oracle,2489,371,15,21
civics/法.svg,bronze,5314,946,37,52
civics/防.svg,seal,3971,673,21,24
civics/放.svg,bronze,4044,561,15,17
civics/分.svg,oracle,3729,788,36,48
civics/封.svg,oracle,2037,354,13,13
civics/服.svg,oracle,3671,569,23,26
civics/改.svg,oracle,3469,536,17,19
civics/高.svg,oracle,4711,631,25,33
civics/歌.svg,bronze,3548,708,24,30
civics/革.svg,oracle,9393,818,30,35
civics/工.svg,oracle,2634,420,14,15
civics/公.svg,oracle,2992,777,37,50
civics/雇.svg,oracle,4510,557,19,19
civics/规.svg,bronze,3682,780,52,56
civics/国.svg,bronze,4618,1003,46,68
civics/海.svg,bronze,4642,734,29,43
civics/航.svg,seal,3311,641,18,25
civics/合.svg,oracle,4227,499,20,21
civics/核.svg,seal,4773,838,22,29
civics/护.svg,seal,6656,1042,30,37
civics/化.svg,oracle,3337,787,41,50
